,year,month,day,hour,nltk Sentiment,emoji senitment,sentiment,open,high,low,close,volume,return
11613,2020,12,28,6,-0.010857142857142852,0.1746031746031746,0.14285714285714285,22.6,22.88,22.06,22.52,8735.0,0.005357142857142838
11853,2020,12,28,7,0.019616438356164393,0.1232876712328767,0.1917808219178082,22.48,22.53,22.2,22.4,5334.0,0.004484304932735439
12389,2020,12,28,8,0.04489999999999998,0.05172413793103448,0.1724137931034483,22.5,22.5,21.59,22.3,65176.0,0.04011194029850751
12609,2020,12,28,9,0.06979750000000003,0.175,0.325,22.1,22.57,21.26,21.44,158480.0,-0.01152604887044717
12789,2020,12,28,10,0.031731250000000016,0.375,0.375,21.45,21.7,20.46,21.69,2516923.0,0.03285714285714292
12817,2020,12,28,11,0.1637377777777778,0.15555555555555556,0.5111111111111111,21.69,21.97,20.35,21.0,2635604.0,-0.005681818181818232
12865,2020,12,28,12,0.010384374999999984,0.0625,0.15625,21.02,21.38,20.88,21.12,746228.0,0.012464046021092969
12958,2020,12,28,13,0.14193,0.3,0.45,21.13,21.17,20.84,20.86,558804.0,0.020547945205479312
13026,2020,12,28,14,0.12048947368421052,0.10526315789473684,0.15789473684210525,20.87,20.94,20.42,20.44,597811.0,-0.009689922480620172
13136,2020,12,28,15,0.027753125000000007,0.15625,0.25,20.43,20.81,20.43,20.64,477433.0,-0.0162059103908484
13271,2020,12,28,16,0.06526825396825402,0.09523809523809523,0.14285714285714285,20.65,21.11,20.57,20.98,1155627.0,-0.005687203791469253
13670,2020,12,28,17,-0.04403076923076924,0.10256410256410256,0.05128205128205128,20.99,21.1,20.88,21.1,15544.0,-0.004716981132075415
13840,2020,12,28,18,-0.04436,0.06666666666666667,0.06666666666666667,21.01,21.2,20.99,21.2,18608.0,0.0037878787878786735
14136,2020,12,28,19,0.1054158536585366,0.06097560975609756,0.21951219512195122,21.16,21.19,21.1,21.12,5119.0,-0.0014184397163119478
14452,2020,12,28,20,0.09748333333333331,0.1111111111111111,0.3333333333333333,21.12,21.15,21.0,21.15,10281.0,0.007142857142857118
14592,2020,12,28,21,0.04483000000000002,0.06666666666666667,0.15,,,,,,
14593,2020,12,28,22,0.05434444444444445,0.12698412698412698,0.2222222222222222,,,,,,
14594,2020,12,28,23,0.0646983050847458,0.0847457627118644,0.15254237288135594,,,,,,
14595,2020,12,29,0,0.10621000000000003,0.125,0.3,,,,,,
14596,2020,12,29,1,0.07786702127659574,0.13829787234042554,0.2765957446808511,,,,,,
14597,2020,12,29,2,0.06439090909090912,0.09090909090909091,0.1919191919191919,,,,,,
14598,2020,12,29,3,0.09468299999999999,0.1,0.2,,,,,,
14599,2020,12,29,4,0.0494170731707317,0.10975609756097561,0.13414634146341464,,,,,,
14600,2020,12,29,5,0.10591282051282051,0.1282051282051282,0.2564102564102564,21.0,21.0,21.0,21.0,345.0,-0.010367577756833168
14677,2020,12,29,6,0.06402127659574466,0.06382978723404255,0.2127659574468085,21.05,21.22,21.05,21.22,857.0,0.00616405879563775
14725,2020,12,29,7,0.09604594594594595,0.13513513513513514,0.32432432432432434,,,,,,
14726,2020,12,29,8,0.12429393939393937,0.15151515151515152,0.36363636363636365,21.16,21.22,21.09,21.09,8338.0,0.0028530670470754416
14788,2020,12,29,9,0.12363529411764705,0.058823529411764705,0.23529411764705882,21.22,21.22,21.0,21.03,13615.0,0.06212121212121224
14805,2020,12,29,10,0.06312941176470588,0.058823529411764705,0.058823529411764705,21.03,21.19,19.65,19.8,1442995.0,0.03286384976525825
14822,2020,12,29,11,0.1669,0.0,0.5,19.83,19.86,18.56,19.17,2764188.0,-0.026409344845099048
14826,2020,12,29,12,0.2712555555555556,0.0,0.4444444444444444,19.19,19.71,19.09,19.69,876914.0,0.017045454545454586
14835,2020,12,29,13,-0.039200000000000006,0.375,0.375,19.7,19.76,19.11,19.36,914087.0,-0.021728145528044474
14842,2020,12,29,14,0.05082666666666665,0.06666666666666667,0.13333333333333333,19.37,19.87,19.33,19.79,597241.0,0.006100660904931221
14896,2020,12,29,15,0.0020966666666666616,0.13333333333333333,0.23333333333333334,19.79,20.03,19.5,19.67,1231265.0,0.015487867836861069
15096,2020,12,29,16,-0.059579411764705874,0.08823529411764706,-0.029411764705882353,19.68,19.83,19.3,19.37,1192465.0,0.001033591731266048
15198,2020,12,29,17,0.014640425531914915,0.10638297872340426,0.18085106382978725,19.31,19.5,19.3,19.35,28925.0,-0.0005165289256197081
15999,2020,12,29,18,0.04670879120879123,0.17582417582417584,0.3076923076923077,19.36,19.37,19.36,19.36,8841.0,0.006760270410816282
